Time,Flow,Stage
2015-06-13 10:00:00,446305.917952,25.76
2015-06-13 11:00:00,435884.205895,25.65
2015-06-13 12:00:00,442769.472599,25.6
2015-06-13 13:00:00,432749.758317,25.48
2015-06-13 14:00:00,445136.776113,25.49
2015-06-13 15:00:00,432185.16563,25.38
2015-06-13 16:00:00,441673.747946,25.36
2015-06-13 18:00:00,436831.683217,25.32
2015-06-13 19:00:00,439132.602258,25.29
2015-06-13 20:00:00,437267.484159,25.26
2015-06-13 21:00:00,435801.452104,25.21
2015-06-13 22:00:00,436379.916445,25.17
2015-06-13 23:00:00,440387.9057,25.19
2015-06-14 00:00:00,433397.051273,25.13
2015-06-14 01:00:00,439025.844427,25.13
2015-06-14 02:00:00,431559.800157,25.06
2015-06-14 03:00:00,441163.85632,25.1
2015-06-14 04:00:00,439895.074072,25.13
2015-06-14 05:00:00,437606.082824,25.12
2015-06-14 06:00:00,441456.288428,25.16
2015-06-14 07:00:00,440800.511684,25.18
2015-06-14 08:00:00,443603.635015,25.23
2015-06-14 09:00:00,441820.028399,25.26
2015-06-14 10:00:00,445750.529077,25.32
2015-06-14 11:00:00,448165.883508,25.4
2015-06-14 12:00:00,456218.11171,25.56
2015-06-14 13:00:00,450434.005029,25.64
2015-06-14 15:00:00,464584.274416,25.84
2015-06-14 16:00:00,453039.273177,25.91
2015-06-14 17:00:00,470149.160886,26.12
2015-06-14 19:00:00,468627.219605,26.32
2015-06-14 20:00:00,468604.241886,26.46
2015-06-14 21:00:00,469105.92958,26.59
2015-06-14 22:00:00,470274.886754,26.71
2015-06-14 23:00:00,469644.054056,26.8
2015-06-15 00:00:00,468928.060553,26.87
2015-06-15 01:00:00,482441.0593,27.07
2015-06-15 02:00:00,469683.053069,27.12
2015-06-15 03:00:00,482170.838504,27.26
2015-06-15 04:00:00,478819.410585,27.38
2015-06-15 05:00:00,484868.206478,27.52
2015-06-15 06:00:00,482035.273834,27.62
2015-06-15 07:00:00,487759.443793,27.76
2015-06-15 08:00:00,481735.541616,27.82
2015-06-15 09:00:00,495988.002772,28.0
2015-06-15 10:00:00,488324.318801,28.1
2015-06-15 11:00:00,494842.65061,28.23
2015-06-15 12:00:00,493506.705582,28.34
2015-06-15 13:00:00,490503.066606,28.39
2015-06-15 15:00:00,511053.572288,28.64
2015-06-15 16:00:00,484585.201213,28.61
2015-06-15 17:00:00,511980.448899,28.8
2015-06-15 18:00:00,491102.620453,28.82
2015-06-15 20:00:00,512759.98098,29.0
2015-06-15 21:00:00,499777.406469,29.06
2015-06-15 22:00:00,514474.619455,29.23
2015-06-15 23:00:00,499993.485679,29.26
2015-06-16 00:00:00,508892.461884,29.33
2015-06-16 01:00:00,511936.558115,29.46
2015-06-16 02:00:00,516405.49876,29.6
2015-06-16 03:00:00,504391.165026,29.6
2015-06-16 04:00:00,522299.854648,29.76
2015-06-16 05:00:00,509441.866018,29.8
2015-06-16 06:00:00,521288.542153,29.92
2015-06-16 07:00:00,514169.452344,29.98
2015-06-16 09:00:00,525931.310576,30.12
2015-06-16 10:00:00,529724.741108,30.31
2015-06-16 11:00:00,520398.868599,30.36
2015-06-16 12:00:00,522754.448506,30.41
2015-06-16 14:00:00,537528.581681,30.61
2015-06-16 15:00:00,523964.683364,30.66
2015-06-16 16:00:00,525507.863628,30.69
2015-06-16 17:00:00,525892.955604,30.73
2015-06-16 18:00:00,537908.623887,30.88
2015-06-16 19:00:00,523559.992881,30.88
2015-06-16 20:00:00,540404.850543,31.02
2015-06-16 21:00:00,528723.322999,31.05
2015-06-16 22:00:00,543697.059924,31.19
2015-06-16 23:00:00,533167.16369,31.24
2015-06-17 00:00:00,547243.954467,31.4
2015-06-17 01:00:00,542389.891664,31.51
2015-06-17 02:00:00,540445.8166,31.56
2015-06-17 03:00:00,548875.706943,31.68
2015-06-17 04:00:00,541653.903448,31.73
2015-06-17 05:00:00,553959.021435,31.88
2015-06-17 06:00:00,547115.140255,31.95
2015-06-17 07:00:00,549665.157076,32.02
2015-06-17 08:00:00,547042.209564,32.06
2015-06-17 09:00:00,546506.704321,32.09
2015-06-17 10:00:00,552274.081458,32.1
2015-06-17 11:00:00,550571.556375,32.17
2015-06-17 12:00:00,535645.396004,32.08
2015-06-17 13:00:00,560973.453436,32.22
2015-06-17 14:00:00,552688.099493,32.31
2015-06-17 15:00:00,562817.891047,32.45
2015-06-17 16:00:00,543352.152836,32.4
2015-06-17 17:00:00,560405.517016,32.48
2015-06-17 18:00:00,560671.960612,32.6
2015-06-17 19:00:00,558530.229604,32.66
2015-06-17 20:00:00,551678.948388,32.64
2015-06-17 21:00:00,553720.446334,32.64
2015-06-17 22:00:00,566957.0755,32.78
2015-06-17 23:00:00,564363.897209,32.88
2015-06-18 00:00:00,594093.409522,32.9
2015-06-18 01:00:00,590209.321506,32.93
2015-06-18 02:00:00,589077.3027,32.9
2015-06-18 03:00:00,604909.278639,33.03
2015-06-18 04:00:00,581302.259716,32.94
2015-06-18 05:00:00,593599.839238,32.93
2015-06-18 06:00:00,613421.679791,33.15
2015-06-18 07:00:00,610622.722041,33.32
2015-06-18 08:00:00,594843.025519,33.28
2015-06-18 09:00:00,594804.367966,33.24
2015-06-18 10:00:00,607038.000514,33.33
2015-06-18 11:00:00,592413.605389,33.29
2015-06-18 13:00:00,625552.066853,33.53
2015-06-18 14:00:00,602439.638582,33.57
2015-06-18 17:00:00,629890.734307,33.79
2015-06-18 18:00:00,611263.454172,33.86
2015-06-18 20:00:00,612970.693404,33.89
2015-06-18 21:00:00,616448.319826,33.96
2015-06-18 22:00:00,617470.394706,34.04
2015-06-18 23:00:00,616394.879203,34.09
2015-06-19 00:00:00,622175.735695,34.18
2015-06-19 01:00:00,615623.850793,34.21
2015-06-19 03:00:00,629774.520037,34.34
2015-06-19 04:00:00,619980.954878,34.39
2015-06-19 05:00:00,632509.955488,34.52
2015-06-19 07:00:00,636464.634929,34.69
2015-06-19 08:00:00,631319.204863,34.77
2015-06-19 09:00:00,636777.209233,34.88
2015-06-19 10:00:00,639339.124202,35.01
2015-06-19 11:00:00,642940.29403,35.14
2015-06-19 12:00:00,651854.75173,35.34
2015-06-19 13:00:00,648072.214462,35.47
2015-06-19 14:00:00,635918.099982,35.46
2015-06-19 15:00:00,647624.61038,35.55
2015-06-19 16:00:00,643265.615068,35.61
2015-06-19 17:00:00,645464.476334,35.66
2015-06-19 18:00:00,651275.777887,35.76
2015-06-19 19:00:00,639055.580325,35.74
2015-06-19 20:00:00,660455.17692,35.89
2015-06-19 21:00:00,640618.23606,35.88
2015-06-19 22:00:00,643079.001277,35.86
2015-06-19 23:00:00,671328.102614,36.1
2015-06-20 00:00:00,648413.609909,36.14
2015-06-20 01:00:00,647373.572017,36.1
2015-06-20 02:00:00,660745.528532,36.21
2015-06-20 04:00:00,656018.39509,36.28
2015-06-20 05:00:00,646960.418481,36.24
2015-06-20 08:00:00,658643.437588,36.3
2015-06-20 10:00:00,654137.837859,36.33
2015-06-20 11:00:00,663688.990547,36.42
2015-06-20 13:00:00,647731.529846,36.38
2015-06-20 14:00:00,666971.90269,36.48
2015-06-20 15:00:00,652479.101259,36.48
2015-06-20 16:00:00,672707.764919,36.62
2015-06-20 17:00:00,651147.076102,36.58
2015-06-20 18:00:00,666411.71734,36.64
2015-06-20 19:00:00,649272.204048,36.58
2015-06-20 20:00:00,664831.897848,36.63
2015-06-20 21:00:00,659565.060597,36.66
2015-06-20 22:00:00,654725.102526,36.63
2015-06-20 23:00:00,652425.633429,36.58
2015-06-21 00:00:00,657177.047369,36.58
2015-06-21 01:00:00,693258.88501,36.84
2015-06-21 02:00:00,646578.289912,36.78
2015-06-21 03:00:00,668624.297737,36.8
2015-06-21 05:00:00,666472.145781,36.81
2015-06-21 06:00:00,669546.076051,36.87
2015-06-21 07:00:00,644434.810971,36.78
2015-06-21 08:00:00,655229.371622,36.73
2015-06-21 09:00:00,647747.293254,36.67
2015-06-21 10:00:00,660077.63362,36.68
2015-06-21 11:00:00,697362.152901,36.94
2015-06-21 12:00:00,647058.454037,36.87
2015-06-21 13:00:00,673399.848979,36.91
2015-06-21 14:00:00,638725.797129,36.79
2015-06-21 15:00:00,673875.452576,36.85
2015-06-21 16:00:00,649642.580999,36.82
2015-06-21 17:00:00,669555.517482,36.85
2015-06-21 18:00:00,632623.608145,36.7
2015-06-21 19:00:00,656265.308317,36.66
2015-06-21 20:00:00,664627.55288,36.72
2015-06-21 21:00:00,664076.767777,36.76
2015-06-21 22:00:00,649055.947573,36.69
2015-06-21 23:00:00,656878.479983,36.67
2015-06-22 00:00:00,646807.569624,36.6
2015-06-22 01:00:00,658387.527902,36.6
2015-06-22 02:00:00,672096.134638,36.71
2015-06-22 03:00:00,644512.899538,36.64
2015-06-22 05:00:00,640929.896198,36.47
2015-06-22 07:00:00,663189.371707,36.54
2015-06-22 08:00:00,652202.202212,36.53
2015-06-22 09:00:00,647182.311947,36.45
2015-06-22 10:00:00,655034.631164,36.45
2015-06-22 11:00:00,659321.976689,36.5
2015-06-22 12:00:00,644010.516665,36.41
2015-06-22 13:00:00,654561.402505,36.4
2015-06-22 14:00:00,646318.662295,36.35
2015-06-22 15:00:00,658582.231364,36.39
2015-06-22 16:00:00,651767.545237,36.39
2015-06-22 17:00:00,652026.938741,36.37
2015-06-22 18:00:00,647892.207086,36.33
2015-06-22 19:00:00,644669.898258,36.26
2015-06-22 20:00:00,666134.612652,36.39
2015-06-22 21:00:00,634269.945006,36.25
2015-06-22 22:00:00,652571.44148,36.23
2015-06-22 23:00:00,664496.469167,36.37
2015-06-23 00:00:00,648220.022824,36.35
2015-06-23 01:00:00,644467.37755,36.26
2015-06-23 02:00:00,664155.421066,36.37
2015-06-23 03:00:00,650401.680679,36.37
2015-06-23 04:00:00,657718.36154,36.4
2015-06-23 05:00:00,653643.81775,36.41
2015-06-23 06:00:00,653186.867873,36.4
2015-06-23 10:00:00,677092.324726,36.6
2015-06-23 11:00:00,648417.931809,36.55
2015-06-23 12:00:00,651605.003318,36.48
2015-06-23 13:00:00,663484.96941,36.56
2015-06-23 14:00:00,648118.386994,36.5
2015-06-23 15:00:00,667399.624628,36.58
2015-06-23 16:00:00,649466.306415,36.54
2015-06-23 17:00:00,675219.517245,36.67
2015-06-23 18:00:00,643470.754046,36.58
2015-06-23 19:00:00,649669.711428,36.57
2015-06-23 20:00:00,664808.668323,36.64
2015-06-23 21:00:00,652018.642583,36.61
2015-06-23 22:00:00,657882.017054,36.6
2015-06-23 23:00:00,664301.996012,36.66
2015-06-24 00:00:00,656213.111299,36.65
2015-06-24 02:00:00,648302.662682,36.64
2015-06-24 03:00:00,669205.745739,36.65
2015-06-24 04:00:00,648943.389123,36.61
2015-06-24 05:00:00,666421.224776,36.65
2015-06-24 06:00:00,658802.998232,36.67
2015-06-24 07:00:00,668644.870357,36.73
2015-06-24 08:00:00,645145.856907,36.66
2015-06-24 09:00:00,652763.816287,36.6
2015-06-24 10:00:00,670330.658702,36.7
2015-06-24 11:00:00,642390.8692,36.6
2015-06-24 13:00:00,661680.758206,36.61
2015-06-24 15:00:00,652036.483267,36.58
2015-06-24 17:00:00,648894.175269,36.51
2015-06-24 18:00:00,655935.916416,36.51
2015-06-24 19:00:00,641835.040786,36.4
2015-06-24 20:00:00,670451.058692,36.52
2015-06-24 21:00:00,641467.396502,36.43
2015-06-24 22:00:00,654237.573632,36.41
2015-06-24 23:00:00,647976.378728,36.37
2015-06-25 00:00:00,646833.135768,36.31
2015-06-25 03:00:00,642949.776763,36.24
2015-06-25 04:00:00,662922.505094,36.34
2015-06-25 05:00:00,642116.404135,36.27
2015-06-25 07:00:00,648603.86047,36.23
2015-06-25 09:00:00,643669.120616,36.18
2015-06-25 10:00:00,654039.427051,36.21
2015-06-25 11:00:00,644721.474509,36.18
2015-06-25 12:00:00,645667.621218,36.14
2015-06-25 13:00:00,648659.466826,36.14
2015-06-25 14:00:00,641510.136722,36.08
2015-06-25 15:00:00,641569.780366,36.02
2015-06-25 16:00:00,654441.55708,36.09
2015-06-25 17:00:00,629623.991655,35.94
2015-06-25 18:00:00,650160.407042,35.96
2015-06-25 19:00:00,638068.257364,35.92
2015-06-25 20:00:00,658046.909228,36.02
2015-06-25 21:00:00,641192.545527,35.99
2015-06-25 22:00:00,638060.294643,35.91
2015-06-25 23:00:00,655662.134128,36.0
2015-06-26 00:00:00,652639.740339,36.08
2015-06-26 01:00:00,651926.730767,36.11
2015-06-26 02:00:00,637473.416203,36.02
2015-06-26 03:00:00,654265.406051,36.07
2015-06-26 04:00:00,638567.196999,36.01
2015-06-26 05:00:00,646331.135946,35.99
2015-06-26 06:00:00,645938.799116,36.0
2015-06-26 07:00:00,651200.172675,36.04
2015-06-26 08:00:00,654962.570866,36.12
2015-06-26 09:00:00,654676.554485,36.18
2015-06-26 10:00:00,647412.900932,36.16
2015-06-26 11:00:00,643987.18956,36.11
2015-06-26 12:00:00,640766.549566,36.04
2015-06-26 13:00:00,651358.102607,36.08
2015-06-26 14:00:00,638497.357594,36.01
2015-06-26 15:00:00,654855.703191,36.07
2015-06-26 16:00:00,637616.145243,36.0
2015-06-26 17:00:00,650327.140264,36.02
2015-06-26 18:00:00,638144.650828,35.96
2015-06-26 19:00:00,644798.986758,35.94
2015-06-26 20:00:00,644140.825157,35.94
2015-06-26 21:00:00,641124.55686,35.91
2015-06-26 22:00:00,642798.837685,35.89
2015-06-26 23:00:00,643032.934372,35.88
2015-06-27 00:00:00,633709.806631,35.87
2015-06-27 01:00:00,638014.721525,35.81
2015-06-27 02:00:00,647048.851578,35.85
2015-06-27 03:00:00,635482.917279,35.79
2015-06-27 04:00:00,648819.731745,35.83
2015-06-27 05:00:00,648055.160062,35.89
2015-06-27 06:00:00,638343.984851,35.84
2015-06-27 08:00:00,646469.415443,35.86
2015-06-27 09:00:00,639721.353739,35.83
2015-06-27 10:00:00,652720.793745,35.91
2015-06-27 12:00:00,653400.245345,36.0
2015-06-27 13:00:00,651794.581895,36.05
2015-06-27 14:00:00,647180.557872,36.05
2015-06-27 15:00:00,653416.923622,36.1
2015-06-27 16:00:00,649189.606005,36.12
2015-06-27 17:00:00,648856.798359,36.12
2015-06-27 18:00:00,666913.577269,36.28
2015-06-27 19:00:00,650036.745202,36.29
2015-06-27 21:00:00,659501.380531,36.34
2015-06-27 23:00:00,649133.134306,36.32
